Ngay,Index,Return
24/01/2014,560.19,0.011924
27/01/2014,556.52,-0.006573
6/02/2014,554.68,-0.003312
7/02/2014,549.76,-0.00891
10/02/2014,555.9,0.011107
11/02/2014,553.9,-0.003604
12/02/2014,564.25,0.018513
13/02/2014,570.18,0.010455
14/02/2014,572.22,0.003571
17/02/2014,570.2,-0.003536
18/02/2014,574.56,0.007617
19/02/2014,578.12,0.006177
20/02/2014,571.04,-0.012322
21/02/2014,570.57,-0.000823
24/02/2014,576.58,0.010478
25/02/2014,586.2,0.016547
26/02/2014,589.81,0.006139
27/02/2014,584.79,-0.008548
28/02/2014,586.48,0.002886
3/03/2014,573.38,-0.02259
4/03/2014,569.97,-0.005965
5/03/2014,574.94,0.008682
6/03/2014,578.56,0.006277
7/03/2014,579.75,0.002055
10/03/2014,583.69,0.006773
11/03/2014,588.5,0.008207
12/03/2014,590.02,0.00258
13/03/2014,595.22,0.008775
14/03/2014,596.83,0.002701
17/03/2014,600.36,0.005897
18/03/2014,599.85,-0.00085
19/03/2014,605.59,0.009524
20/03/2014,600.26,-0.00884
21/03/2014,601.75,0.002479
24/03/2014,607.55,0.009592
25/03/2014,601.85,-0.009426
26/03/2014,588.06,-0.023179
27/03/2014,590.14,0.003531
28/03/2014,594.29,0.007008
31/03/2014,591.57,-0.004587
1/04/2014,583.85,-0.013136
2/04/2014,581.67,-0.003741
3/04/2014,589.44,0.01327
4/04/2014,593.04,0.006089
7/04/2014,600.57,0.012617
8/04/2014,603.25,0.004453
10/04/2014,601.33,-0.003188
11/04/2014,600.57,-0.001265
14/04/2014,596.11,-0.007454
15/04/2014,586.09,-0.016952
16/04/2014,574.29,-0.020339
17/04/2014,580.31,0.010428
18/04/2014,565.33,-0.026153
21/04/2014,558.14,-0.0128
22/04/2014,569.87,0.020798
23/04/2014,569.36,-0.000895
24/04/2014,570.46,0.00193
25/04/2014,578.92,0.014721
28/04/2014,573.1,-0.010104
29/04/2014,578,0.008514
5/05/2014,564.85,-0.023014
6/05/2014,555.11,-0.017394
7/05/2014,559.97,0.008717
8/05/2014,527.09,-0.060512
9/05/2014,542.46,0.028743
12/05/2014,517.05,-0.047975
13/05/2014,513.91,-0.006091
14/05/2014,529.53,0.029942
15/05/2014,524.05,-0.010403
16/05/2014,529.49,0.010327
19/05/2014,533.04,0.006682
20/05/2014,537.52,0.00837
21/05/2014,543.88,0.011763
22/05/2014,541.73,-0.003961
23/05/2014,541.49,-0.000443
26/05/2014,544.06,0.004735
27/05/2014,552.75,0.015846
